LATITUDE,LONGITUDE,OBSERVATION DATE
31.2817239,-81.6792948,43101
33.594113,-117.8734152,43101
30.5803884,-84.2882324,43101
28.53918,-80.67197,43101
33.7501778,-117.9926491,43101
26.4986442,-80.2246141,43101
28.6575241,-80.7545391,43101
25.137089,-80.9324605,43101
33.8806771,-77.9576111,43101
30.5803884,-84.2882324,43101
10.79697,-69.4444084,43101
28.4381006,-82.4551928,43101
9.83193,-83.5638,43101
26.4939508,-81.7545537,43101
30.0300809,-95.8580947,43101
26.375442,-81.6040206,43101
9.22055,-80.00627,43101
32.6052539,-80.3573084,43101
29.9788614,-95.8457673,43101
34.2381312,-119.2615056,43101
26.1849709,-98.3793885,43101
30.4673656,-97.7771286,43101
32.6353273,-80.381813,43101
28.7047512,-81.670019,43101
3.56039,-76.56641,43101
27.3253186,-82.4336821,43101
29.9788614,-95.8457673,43101
25.6414619,-80.4479313,43101
31.3384559,-89.8740714,43101
33.7040978,-118.0022383,43101
26.0740535,-98.1461477,43101
26.0740535,-98.1461477,43101
-25.356831,-57.57872,43101
28.5082207,-80.7940578,43101
30.1695978,-97.275032,43101
31.8441791,-106.5209377,43101
11.3071606,-60.5287564,43101
33.6478502,-117.8427243,43101
29.9111609,-95.863502,43101
31.4359405,-100.5131563,43101
29.9111609,-95.863502,43101
30.4737035,-81.4870889,43101
30.5393804,-84.3269373,43101
32.052018,-81.058345,43101
26.1479755,-97.9897937,43101
33.6478502,-117.8427243,43101
4.7038961,-73.3643367,43101
26.977984,-82.151158,43101
30.005486,-84.47693,43101
34.0239962,-117.1946812,43101
32.6739378,-96.9435642,43101
32.605263,-80.357309,43101
28.1439001,-82.6609078,43101
27.24579,-80.25023,43101
30.4753134,-81.6148527,43101
15.3714981,-90.3507898,43101
9.9809389,-84.0789163,43101
29.9547858,-95.7961464,43101
17.5143335,-88.2018042,43101
33.972366,-77.915165,43101
30.4662604,-81.5619259,43101
29.9111609,-95.863502,43101
30.5653412,-84.2964006,43101
30.0879518,-84.1609812,43101
35.0536079,-76.0542297,43101
33.6755328,-117.9859972,43101
28.0706,-82.8314,43101
31.496718,-110.848945,43101
26.4986442,-80.2246141,43101
30.1695978,-97.275032,43101
28.7047512,-81.670019,43101
29.8887274,-95.9086704,43101
28.7047512,-81.670019,43101
26.3751967,-81.7570353,43101
-23.625984,-47.045552,43101
30.5803884,-84.2882324,43101
30.5136017,-84.2949014,43101
26.0813003,-98.1351399,43101
29.6068756,-82.3031116,43101
28.7047512,-81.670019,43101
-22.9626412,-48.4127355,43101
10.1617861,-84.4743276,43101
31.7328265,-108.8186059,43101
30.4673656,-97.7771286,43101
30.5803884,-84.2882324,43101
32.605263,-80.357309,43101
32.5987463,-94.3669367,43101
27.238813,-80.254996,43101
27.9959173,-81.8652327,43101
-31.04864,-64.51124,43101
29.9788614,-95.8457673,43101
33.86819,-84.20186,43101
27.6327266,-82.718157,43101
26.0813003,-98.1351399,43101
5.1768231,-52.6469672,43101
26.1806613,-98.3643079,43101
30.057575,-95.262736,43101
30.0116039,-97.1629434,43101
-26.6323333,-54.1021667,43101
25.647407,-80.426445,43101
26.2295776,-97.3466982,43102
9.8901392,-83.6550522,43102
28.6251754,-81.6966534,43102
4.888193,-74.465125,43102
20.7609876,-104.8519446,43102
30.7001608,-97.3597466,43102
29.6184836,-82.4188213,43102
2.555991,-76.0585518,43102
-37.244285,-56.9600033,43102
13.932505,-87.243288,43102
3.56039,-76.56641,43102
8.600355,-80.097325,43102
27.7798604,-80.5270386,43102
-32.2105862,-64.6494448,43102
29.6068756,-82.3031116,43102
