LATITUDE,LONGITUDE,OBSERVATION DATE
21.0694699,-86.8823719,43101
26.2768695,-80.214057,43101
17.2046198,-87.5342989,43101
25.6869966,-80.4414976,43101
26.3140166,-81.6349089,43101
20.4906975,-87.7317009,43101
26.375442,-81.6040206,43101
27.501993,-82.712509,43101
21.5662204,-88.0882931,43101
21.005682,-77.74354,43101
26.1517688,-80.141809,43101
25.7340827,-80.3108552,43101
21.0694699,-86.8823719,43101
32.3866842,-64.6770072,43101
21.5662204,-88.0882931,43101
25.7340827,-80.3108552,43101
18.4763528,-66.8834366,43101
18.5170106,-89.5051968,43101
18.5105681,-89.3961878,43101
22.7415,-83.7199,43101
25.686806,-80.4413681,43101
20.4906975,-87.7317009,43101
22.62244,-83.706357,43101
32.3866842,-64.6770072,43101
26.375442,-81.6040206,43101
26.1517688,-80.141809,43101
26.1517688,-80.141809,43101
20.9892292,-89.6032584,43101
22.7415,-83.7199,43101
21.1528518,-86.8331407,43101
19.873054,-90.4951532,43101
17.164847,-88.683585,43101
20.9892292,-89.6032584,43101
17.2046198,-87.5342989,43101
20.9892292,-89.6032584,43101
25.6910336,-80.2865088,43101
20.9892292,-89.6032584,43101
25.7340827,-80.3108552,43101
25.6869966,-80.4414976,43101
21.0427849,-89.65451,43101
20.9892292,-89.6032584,43101
27.6327266,-82.718157,43101
21.1528518,-86.8331407,43101
22.298652,-81.1430998,43101
26.375442,-81.6040206,43101
36.6015291,-78.299184,43101
19.873054,-90.4951532,43101
25.322954,-80.833145,43101
21.5662204,-88.0882931,43101
21.5662204,-88.0882931,43101
17.2046198,-87.5342989,43101
16.4661309,-85.8701491,43101
25.8176486,-80.1249808,43101
21.5662204,-88.0882931,43101
25.6910336,-80.2865088,43101
18.4927758,-69.9535561,43101
21.0694699,-86.8823719,43101
27.2025033,-80.2006245,43101
25.7340827,-80.3108552,43101
21.0427849,-89.65451,43101
18.48319,-66.615192,43101
26.2768695,-80.214057,43101
16.4661309,-85.8701491,43101
21.1528518,-86.8331407,43101
21.0694699,-86.8823719,43101
21.0694699,-86.8823719,43101
25.6869966,-80.4414976,43101
17.760367,-64.8501813,43101
26.2768695,-80.214057,43101
26.1061594,-80.1318741,43101
22.62244,-83.706357,43101
26.1517688,-80.141809,43101
17.2046198,-87.5342989,43101
21.0332984,-89.629762,43101
25.7089712,-80.1536322,43101
25.7340827,-80.3108552,43101
27.6508314,-82.7160323,43101
25.7340827,-80.3108552,43101
22.4935078,-81.218791,43101
18.4488863,-66.8747541,43101
17.2046198,-87.5342989,43101
25.7340827,-80.3108552,43101
